,TIC_ID,TOI,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,Rs,dRs,Teff,Logg,Teq,Disposition,Sectors
4386,354944123,4342.02,10.6886083506691,0.00011466265,1659.34802255334,2.66722448779472,324.386930624803,-77.978753103862,11.0318,1501.17263406582,2.46422452476959,0.4968625,0.59817498922348,0.0177148,3883.0,4.65275,469.880757130345,PC,"[13, 27]"
4387,62301521,4341.01,18.4043334143754,0.012458659,1661.04855224982,7.87933095348761,291.535826278218,-43.1824601189196,13.7827,9135.21101619144,1.28344327393838,0.16381204,0.133376002311707,0.00396582,2891.0,5.22041,182.796124260207,PC,"[13, 27]"
4394,300710077,789.03,8.0432284524036,4.5478624e-05,1329.96876575554,2.38833357855935,115.2685,-71.3044,11.92,692.327665557561,1.13204420755692,0.9920563,0.373,0.06,3471.0,4.87707,391.625136445536,PC,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 35, 36]"
4400,300710077,789.02,12.9705356404721,6.901894e-05,1334.77436548087,2.30181643289083,115.2685,-71.3044,11.92,1119.62395419417,1.26020289233576,0.8869049,0.371140003204346,0.0111606,3471.0,4.87707,335.729529503934,PC,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 35, 36]"
4405,4070275,4364.01,5.42406914989545,2.0911104e-05,1439.34024308954,1.68750365400652,80.0666494187155,-4.23943674881378,11.3993,1766.85892964807,2.09370701057662,0.47302234,0.465777009725571,0.0139892,3500.0,4.76752,487.360439035267,PC,"[5, 32]"
4409,52307802,4360.01,3.07493380399329,1.5514932e-05,1328.29436212892,1.3032724062538,21.7207187338189,-68.6342641585913,12.747,1656.59204939048,1.29488497033253,0.87936926,0.308246999979019,0.0092169,3246.0,4.91671,481.447611459224,PC,"[1, 2, 27, 28, 29]"
4471,230129753,4459.01,5.7497142439927,0.0012238206,2392.14177800422,2.06647635161251,251.827470959173,67.2979055602136,14.3668,13334.2378710864,6.72129217455159,0.9854563,0.577400028705597,0.017461,3750.0,4.67041,550.944568986125,PC,[40]
4484,137899948,4446.01,2.45528798863616,0.00039620255,2391.33719314706,1.90584943894947,292.872902757967,41.0642656413562,14.9826,47322.8164899873,14.0404538699366,0.9698009,0.61482298374176,0.0197802,3792.0,4.63873,756.748916671349,KP,[40]
4492,22233480,4438.01,7.44477331731351,0.0007480411,2396.41313181343,1.95378500405794,270.317084792954,35.5973597197038,11.2695,3778.54116834561,2.33498538462837,0.40710512,0.375858992338181,0.0111301,3353.0,4.84911,392.87085782079,PC,[40]
4520,239332587,4481.01,0.926277135093387,3.2248732e-05,2420.56371931225,0.949443154316126,311.267079900858,44.4990676080927,8.72762,1029.68944822501,1.40902499532139,0.47391108,0.425168991088867,0.0125082,3573.0,4.80376,871.031594487956,PC,[41]
4522,126606859,4479.01,1.15880481196006,0.00018970402,2420.75785796078,1.14661515662679,316.096508022497,24.6541953326347,12.9374,3243.37260232901,2.44907665816564,2.1008608,0.427388995885849,0.012702,3449.0,4.80176,781.594040098533,PC,[41]
4552,434105094,4506.01,5.41067511214948,1.1381838e-05,1357.52143335112,0.686806564122204,354.4097,-12.8412,13.427,32081.7070284646,4.95325031449298,19.253931,0.185012996196747,0.00588037,2938.0,5.14513,299.447855588838,PC,"[2, 29]"
4558,170789802,4508.01,3.46727789358939,9.109895e-06,1438.01209905518,0.405592768803134,69.6142940886827,-31.1894233927199,11.8371,3657.06035533876,2.113546581762,1.3841863,0.332563996315002,0.0099286,3383.0,4.89132,492.998842188553,PC,"[5, 32]"
4562,384888319,4529.01,5.8789642,0.000669,2495.5435645,2.058,16.9676266,12.8810523,10.141,1280.0,1.80477,0.0893594,0.49,0.01,3611.0,4.74,551.0,PC,"[42, 43]"
4564,380887434,4527.01,0.399440252046223,3.2093318e-05,2447.83374899664,0.829520116640648,19.4718778,5.4739307,9.168,365.276185942701,1.01164999981653,0.6835572,0.485947996377945,0.014338,3702.0,4.75,1247.02943427385,PC,[42]
4565,39926974,4526.01,2.26026548696204,0.0004324147,2448.65422537103,1.01034931784601,335.6244216,-7.9555149,13.345,6129.67882695305,2.72623736429689,1.4096905,0.34102401137352,0.0103601,3236.0,4.88,547.936777699069,KP,[42]
4569,369480087,4522.01,0.364322479038833,1.555192e-05,2447.84131211474,0.212068439355669,23.3044232074774,5.6453500827776,15.6615,38216.7895418059,6.95273914129087,3.9343698,0.347330987453461,0.0138193,3473.0,4.87657,1086.47389619701,EB,[42]
4604,248250955,4552.01,0.301150580637201,2.9006222e-05,2361.88233505577,0.64048413083924,264.7151,-47.635,11.862,1457.69739751313,1.28011238337802,0.24046646,0.28617799282074,0.00856701,3304.0,4.96212,1027.59641804422,PC,[39]
4606,107018378,4556.01,3.79242208071527,2.1155918e-05,1570.93492543009,1.23084287531311,182.92642437559,-32.5313632626858,13.0454,3704.22836365673,1.56026239485541,0.21874163,0.218553006649017,0.00658607,3319.0,5.03236,414.650410639483,PC,"[10, 37]"
4610,307849973,4567.01,0.840934295590172,1.0832087e-05,1543.86249999446,1.01531933277497,128.505893539174,-66.7683880012794,11.9212,526.801181608184,1.41328242682164,2.684161,0.608497977256775,0.0180226,3830.0,4.64404,1088.33403058311,PC,"[9, 11, 35, 36, 37, 38]"
4611,149126400,4569.01,1.22531587062166,3.3922515e-05,2036.84285950049,3.43575795300198,81.0241989608288,-63.0279345754661,15.764,6006.51750693148,2.38200116599451,0.4548741,0.29764398932457,0.0114841,3725.0,4.92832,743.111655763343,PC,"[27, 30, 35, 36, 37, 38, 39]"
4613,307849973,4567.02,23.5422221212153,0.00032987917,1548.58540871725,3.5680356558724,128.505893539174,-66.7683880012794,11.9212,1298.95603140093,2.56229087801977,0.34091938,0.608497977256775,0.0180226,3830.0,4.64404,358.426748887194,PC,"[9, 11, 35, 36, 37, 38]"
4615,381897917,4565.01,692.515064579292,0.0007926829,1676.61006566719,2.63831407288164,270.10781806553,-48.4730161778709,10.3154,1810.28116236078,2.27820154326507,0.8695328,0.531247973442078,0.0157642,3614.0,4.71017,165.76796426553,PC,"[13, 39]"
4621,271169413,4559.01,3.96498491783226,1.6125543e-05,1597.85837225985,1.50928263484553,211.013353074131,-30.0130653649381,10.9139,1220.19335600083,1.53728141187943,1.0142795,0.426766991615295,0.0128868,3476.0,4.80232,522.506874849898,PC,"[11, 38]"
4632,298428237,4574.01,0.768997189356457,1.1621856e-05,1683.8790535903,1.08355568937147,312.065154300236,24.4845294259178,11.7495,811.027177708988,1.59379000455242,2.065293,0.543079018592834,0.0160385,3734.0,4.69992,1049.87474497218,PC,"[14, 15, 41]"
4634,154940895,4572.01,26.9511351142,0.00022745963,1836.17782823526,2.47083800212228,210.028984519701,88.6117077885809,11.9212,1088.5092184891,1.80526661757912,0.26691616,0.469523996114731,0.0140048,3710.0,4.7642,382.427196337015,PC,"[19, 20, 25, 26, 40]"
4639,137683938,4587.01,3.28974571472232,0.00038739818,2393.66049596604,1.45388698413291,292.579870407302,37.3763917492334,14.5505,15199.7042643696,7.06702017202751,1.7649553,0.567309021949768,0.0175218,3579.0,4.67905,629.433944577105,PC,"[40, 41]"
4650,307809773,4599.01,2.7695316,0.0001224,2520.0663638,1.23,99.2949955,17.5648151,7.899,660.0,1.48578,0.13471,0.47,0.01,3807.0,4.77,1031.0,PC,"[43, 44]"
4651,307809773,4599.02,5.7058155,0.0003003,2513.1886049,0.844,99.2949955,17.5648151,7.899,890.0,3.52001,1.38049,0.47,0.01,3807.0,4.77,636.0,PC,"[43, 44]"
4671,94727308,4622.01,1.29638461539438,0.00063348823,2474.77655926802,3.37978318522316,60.2265387425826,31.6910933713892,16.1779,63153.323825419,12.6379051832645,1.4342442,0.463183999061584,0.0211904,3003.0,4.76981,672.587645348132,PC,[43]
4677,258796169,4616.01,1.55416535545755,0.00033153224,2475.11783696103,1.22244220668859,14.8179483343677,13.860024620636,12.8872,4616.48940848766,2.21689952288332,8.867644,0.192728996276855,0.00578436,3244.0,5.07736,525.162701258264,PC,[43]
4692,150428135,700.04,27.8093714952341,0.00026340265,1352.99122083169,3.54206147745123,97.096855,-65.579306,10.875,452.749905838798,0.953503065045453,0.37684137,0.419456988573074,0.0125728,3482.0,4.438,272.898646823411,PC,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 27, 28, 30, 31, 33, 34, 35, 36, 37, 38]"
4694,270355392,4643.01,5.02640960724662,0.0006708011,2451.7004184867,1.64911750801328,32.2180506342753,4.30641482187073,10.6127,732.310843145017,1.40883961035137,3.3890657,0.518020987510681,0.0153843,3782.0,4.72167,559.580687917906,PC,"[42, 43]"
4695,336961891,4642.01,3.60223773777829,0.0003134855,2449.12955376898,1.03255200089646,30.8842614595801,6.81639570676524,11.9847,2229.98568822383,1.16718554522632,1.038172,0.242091000080109,0.00739339,3266.0,4.99716,427.966185403985,PC,"[42, 43]"
4701,405484221,4636.01,42.82891524015,0.00427197,2454.50903978206,2.32485261915231,56.7304596139665,24.1879935860014,15.7488,85688.8204518609,8.5394160056,0.7230957,0.289034008979797,0.010993,3090.0,4.93803,186.916196906693,PC,"[42, 43]"
4720,279095914,4675.01,3.5779775,3.33e-05,2165.5261495,1.795,50.5428168,-4.1115759,11.042,830.0,2.15124,0.251913,0.61,0.06,3991.0,4.67,755.0,PC,"[4, 31]"
4725,404506270,4670.01,15.5014296,0.002701,2150.6175653,1.663,61.6659261,-39.4444241,14.874,90070.0,10.8287,0.617651,0.36,0.01,3382.0,4.87,254.0,PC,[31]
4727,142938659,4668.01,1.0049552,0.0002556,2169.2994114,0.92,52.6471645,-35.2036955,13.837,8600.0,5.19137,1.60086,0.42,0.01,3210.0,4.81,787.0,PC,[31]
4729,165202476,4666.01,2.9093856,0.0001922,2168.4763684,2.075,56.2898634,-39.0630848,13.327,45160.0,12.8688,0.465005,0.59,0.02,3666.0,4.66,729.0,PC,[31]
4801,270716565,4728.01,6.0879495,1.4e-05,2223.9512672,1.639,104.8566837,9.3777117,13.242,26720.0,12.8134,0.745785,0.66,0.02,3971.0,4.6,526.0,PC,"[6, 33]"
4820,317328621,4709.01,6.2397532,3.09e-05,2220.5129289,3.209,87.4904843,-12.835208,12.877,11490.0,7.89594,3.42391,0.5,0.13,5956.9,,1371.0,PC,"[6, 33]"
4894,186470968,4832.01,2.7805098,0.0009159,2275.7028837,1.547,132.6827543,-34.7828394,13.703,15800.0,8.80341,0.654227,0.68,0.02,3949.0,4.59,735.0,PC,[35]
4909,60074373,4817.01,3.190373,0.0012317,2276.4069594,2.684,111.0927339,-44.0327384,14.643,42550.0,12.0669,0.719336,0.6,0.02,3722.0,4.65,820.0,PC,[35]
4919,143032776,4863.01,12.4856615,0.0028788,2289.2818487,2.538,167.2554878,-10.1883474,14.667,67270.0,12.2535,0.848755,0.45,0.01,3473.0,4.78,375.0,PC,[36]
4922,335590096,4860.01,1.5229985,7.04e-05,2304.2456131,1.196,183.5647447,-13.1748173,13.773,58060.0,8.99483,0.485033,0.35,0.01,3237.0,4.87,687.0,PC,[36]
4924,262499797,4858.01,1.7508811,9.23e-05,2303.1961198,1.13,109.8797273,-55.7280231,14.808,60870.0,12.2167,0.88106,0.44,0.01,3333.0,4.79,637.0,PC,"[35, 36]"
4926,428685938,4856.01,14.4896397,0.003506,2283.3587464,1.898,180.2317153,-23.634722,14.379,40070.0,7.558,0.446523,0.35,0.01,3376.0,4.87,292.0,PC,[36]
4949,124235800,4898.01,2.7652293,1.03e-05,2330.0107703,1.262,197.3422688,-32.8292447,11.928,2390.0,3.48557,0.201627,0.64,0.02,3830.0,4.62,667.0,PC,"[10, 37]"
4958,441936163,4889.01,1.895234,6.7e-06,2330.5523808,0.868,145.7916518,-56.4217547,12.606,2470.0,,,,,3525.0,,619.0,PC,"[9, 10, 36, 37]"
5045,445392860,4988.01,2.370138,9e-07,2277.2209754,1.048,112.4601648,-51.9907717,14.881,46170.0,23.9456,0.770942,0.7,0.02,3986.0,4.57,703.0,PC,[35]
5074,324609476,5041.01,0.7338413,5.64e-05,2388.7189645,0.482,312.6018306,-81.4430909,14.928,42590.0,12.1197,1.4724,0.44,0.01,3423.0,4.79,649.0,PC,[39]
5082,318180448,5033.01,5.4695364,4.7e-05,2389.2898859,1.274,309.3965033,-83.0920994,11.741,1600.0,1.39203,0.119311,0.36,0.01,3465.0,4.86,437.0,PC,"[13, 27, 39]"
5084,46807139,5031.01,4.5314275,0.0001267,2381.6947466,6.41,230.7896545,-58.7267761,13.302,6062.0,,,,,3605.0,,1099.0,PC,"[12, 38, 39]"
5092,213111428,5023.01,2.2749988,9e-07,2386.471282,0.632,257.1238163,-51.5314,14.958,68800.0,17.0496,0.531341,0.32,0.01,3199.0,4.9,398.0,PC,[39]
5105,276735500,5010.01,6.7107895,0.0025424,2376.3969832,1.377,270.3404491,-79.3529755,14.668,29370.0,12.843,1.20778,0.7,0.02,3980.0,4.57,437.0,PC,[39]
5108,424196109,5007.01,2.5432595,0.0006815,2384.6441199,1.12,236.06399,-61.0412362,13.637,21300.0,10.6224,0.958412,0.66,0.02,3757.0,4.61,615.0,PC,[39]
5121,247180220,4991.01,0.7702101,0.0002013,2385.8044893,0.857,253.7002314,-45.3673929,14.659,29130.0,13.5452,1.77753,0.68,0.02,3601.0,4.58,922.0,PC,[39]
5150,82508808,5102.01,0.452201305869498,4.98067e-05,2500.50542258156,0.577371228707009,123.15223695523,17.9302473299308,15.0155,15351.6498068377,7.91722863450311,4.65683,0.633946001529694,0.0300458,3739.0,4.6228,1326.27793629528,PC,[44]
5155,203214081,5097.01,5.7468666,0.0001069,2503.32556694384,2.216,134.7180416,21.0761672,11.522,3740.0,4.31634,0.20654,0.32,0.01,3413.0,4.91,835.0,KP,[44]
5157,434226736,5095.01,3.4847528262488,0.00029493737,2501.77406827548,0.717181277057384,63.2733894649056,15.2477816134607,13.0275,11341.7404475789,3.11379859461454,1.0545624,0.290215998888016,0.00869257,3204.0,4.93668,447.805803425456,KP,[44]
5158,19028197,5094.01,3.33666941949207,8.2431885e-05,2500.53561363547,1.78,119.7743315,15.3914556,10.248,6690.0,4.26829,0.141412,0.5,0.01,3552.0,4.74,644.0,KP,[44]
5162,184892124,5090.01,1.98291805928408,0.00021486258,2500.67060797599,1.22583108744927,130.664333369321,19.4144162961122,16.0573,147968.58008164,11.9808995398279,0.9450351,0.29304701089859,0.0116176,3213.0,4.93347,543.460530338028,KP,[44]
