TIC ID,TOI,Priority,Dispo,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,R_s,dR_s,T_eff,logg,Met,M_s,D (pc),Sect,Rp/R*,a/R*,b,Insol,AB,T_eq,M_p,dM_p,LCO_rms,rms_err,Data,Notes,no_data
452866790,488.01,1,VPC,1.198005,0.0001920,1492.202188,1.06,120.595300,3.33880000,11.13,1051,1.162,,0.347,,3332,4.915,0,,40.70,7,0.0307,9.62,0.00,55.2,0.3,695,,,-,-,FALSE,,TRUE
452866790,488.11,1,VPC,,,,,120.595300,3.33880000,11.13,,,,0.347,,3332,4.915,0,,40.70,7,,,,,,,,,,,FALSE,,TRUE
54962195.01,663.01,1,VPC+,2.598907,0.0000500,1544.390641,1.62,160.066500,-8.51070000,11.67,1911,2.224,,0.502,,3719,4.769,0,,92.70,9,0.0406,12.60,0.00,49.9,0.3,678,,,-,-,FALSE,,TRUE
54962195.02,663.02,5,VPC+,4.695703,0.0001000,1543.394099,1.84,160.066500,-8.51070000,11.67,2101,2.328,,0.502,,3719,4.769,0,,92.70,9,0.0426,18.70,0.00,22.7,0.3,556,,,-,-,FALSE,,TRUE
55488511,557.01,1,PC,3.345431,0.0015910,1439.541685,0.99,59.017200,-10.27200000,11.63,1625,2.400,,0.580,,4081,4.710,0,,,5,0.0380,13.55,0.00,62.7,,,,,-,-,FALSE,,TRUE
237920046,873.01,2,PPC,5.931348,0.0004230,1326.217236,2.42,56.734300,-63.33730000,12.06,1091,1.803,1.852,0.540,0.079,3797,4.740,0,,118.30,4,0.0306,20.81,0.00,19.9,0.3,538,,,-,-,FALSE,,TRUE
12421862,198.01,1,PPC,20.427265,0.0033120,1356.375417,2.18,2.268200,-27.12210000,9.85,1208,1.562,,0.444,,3763,4.837,0,,41.70,2,0.0323,54.07,0.00,2.8,0.3,331,,,-,-,FALSE,,TRUE
200593988,526.01,1,PPC,7.699087,0.0033450,1470.849292,4.38,85.335400,11.19460000,12.27,8072,6.215,,0.450,,3617,4.811,0,,111.80,6,0.1267,27.96,0.00,9.1,0.5,407,,,-,-,FALSE,,TRUE
359271092,741.01,3,PC,7.576262,0.0001824,1544.087397,2.21,140.406700,-60.28200000,7.68,356,1.049,,0.528,,3766,4.760,0,,40.30,9,0.0182,24.87,0.00,13.5,0.3,488,,,-,-,FALSE,,TRUE
316937670,221.01,2,PC,0.624250,0.0000330,1325.342966,0.77,356.490400,-56.34470000,11.78,954,1.672,,0.500,,3900,4.752,0,,101.40,1,0.0307,4.88,0.00,402.4,0.3,1142,,,-,-,FALSE,,TRUE
149788158,727.01,2,PC,4.726090,0.0020000,1517.945180,1.71,130.736800,-2.49810000,11.41,1650,2.306,,0.520,,3746,4.760,0,,84.00,8,0.0407,18.34,0.00,24.3,0.3,566,,,-,-,FALSE,,TRUE
125405602,821.01,2,PC,13.813050,0.0040730,1606.784642,1.37,209.614700,-23.27650000,11.17,2557,2.806,,0.477,,3669,4.789,0,,70.50,11,0.0540,39.71,0.00,4.8,0.3,377,,,,,FALSE,,TRUE
359496368,1178.01,1,PC,2.665900,0.0019600,1685.178550,3.51,279.099635,55.39196510,10.14,589,1.343,1.042,0.500,0.020,4043,4.690,0,,36.72,14,0.0246,12.85,1.00,67.1,0.3,729,-,-,-,-,FALSE,,TRUE
453260209,1215.01,1,PC,1.212615,0.0000480,1570.391508,0.88,146.879600,-77.29620000,9.59,253,0.879,0.992,0.518,0.077,3751,4.757,0,,,"12,11,10",0.0156,7.42,1.00,148.9,0.3,890,-,-,-,-,FALSE,,TRUE
29960109,393.01,1,PC,2.492210,0.0006100,1411.669420,1.61,42.249300,-14.53790000,10.72,1213,2.200,,0.570,,3823,4.720,0,,67.10,4,0.0354,11.26,0.00,69.9,0.3,737,,,-,-,FALSE,Crossfield AC Target,TRUE
374829238,785.01,1,PC,18.640884,0.0075910,1363.834447,32.15,88.337467,-65.63395300,11.47,692,3.307,,0.561,0.017,3783,4.438,0,0.555,65.56,9,0.0541,43.51,0.00,4.5,0.3,371,,,-,-,FALSE,,TRUE
362249359,833.01,1,VPC?,1.042241,0.0001550,1597.253274,1.24,145.646900,-62.47630000,10.10,576,1.438,,0.592,,3965,4.683,0,,54.40,11,0.0223,6.14,0.00,271.9,0.3,1035,,,-,-,FALSE,,TRUE
231728511,864.01,1,PC,0.520662,0.0000160,1411.154172,0.59,81.444281,-51.35703300,11.47,639,2.533,3.786,0.399,0.012,3460,4.438,0,0.390,38.09,5,0.0583,5.03,0.00,234.7,0.3,998,,,-,-,FALSE,,TRUE
210873792,900.01,1,PC,4.844050,0.0027840,1626.506628,4.63,245.905600,-31.37310000,12.04,1634,2.338,0.966,0.570,0.099,3861,4.718,0,,121.04,12,0.0376,17.54,0.00,30.0,0.3,,,,,,FALSE,,TRUE
261257684,904.01,1,PC,18.351895,0.0054140,1630.350649,4.57,89.372435,-83.13017700,10.82,1695,2.625,0.955,0.641,0.067,3992,5.000,0,,46.09,12,0.0376,39.41,0.00,6.8,0.3,,,,,,FALSE,,TRUE
229781583,1245.01,1,PC,4.825102,0.0011720,1684.535200,1.80,283.535647,69.63330100,12.18,2239,2.497,2.070,0.525,0.015,3692,5.000,0,,,14,0.0437,18.49,0.00,22.5,0.3,555,,,,,FALSE,,TRUE
90504905,1234.01,1,PC,2.264539,0.0010600,1685.613152,3.82,290.572370,26.31955500,13.80,15020,5.194,0.585,0.411,0.012,3443,5.000,0,,104.91,14,0.1158,13.13,0.00,33.8,0.3,615,,,,,FALSE,,TRUE
260128333,1243.01,1,CPC,4.663782,0.0133430,1436.209357,14.84,92.133210,-59.54111400,11.45,2512,18.004,2.619,3.093,0.385,5723,5.000,0,,399.02,"4,5,6,7,8,9,10,11,12",0.0534,5.54,0.00,1450.6,0.3,1573,,,,,FALSE,,TRUE
274762761,1256.01,1,PC,1.033244,0.0003240,1683.947476,3.80,301.347533,38.23080800,13.56,26112,4.088,8.412,0.156,0.005,2972,5.000,0,,,14,0.2401,14.84,0.00,14.7,0.3,499,,,,,FALSE,,TRUE
377293776,1450.01,1,PC,2.043923,0.0000870,1685.344739,0.89,286.853477,59.08593300,10.03,462,1.033,2.627,0.474,0.014,3407,5.000,0,,,"14, 15, 16",0.0200,11.16,,44.8,,,,,,,FALSE,,TRUE
427654774,1474.01,1,PC,5.222621,0.0014360,1765.042474,4.03,349.287339,70.19002100,14.14,22109,4.131,0.309,0.276,0.008,3453,5.000,0,,,17,0.1373,29.91,,6.6,,,,,,,FALSE,,TRUE
414870287,1499.01,1,PC,4.958980,0.0010700,1740.8589,1.83,336.872698,59.43380000,7.82,230,,,,,3295,5.000,0,,,"16, 17",#DIV/0!,#DIV/0!,,#DIV/0!,,,,,,,FALSE,,TRUE
284441182,1470.01,1,PC,2.527153,0.0005600,1766.468765,1.27,10.088709,61.21362600,11.48,1864,2.131,2.686,0.490,0.015,3624,5.000,0,,,,0.0399,12.57,,45.3,,,,,,,FALSE,,TRUE
290348382,1113.01,1,PC,6.440490,0.0011500,1658.787150,1.85,328.705971,-77.33675430,9.67,7268,4.000,1.000,0.500,0.500,3744,4.710,0,,23.89,13,0.0734,23.14,0.00,15.2,0.3,503,-,-,-,-,FALSE,bright nearby star,TRUE
240968774,1467.01,1,PC,5.973384,0.0014130,1766.983728,1.61,19.113929,49.23378000,10.60,1373,1.827,2.408,0.491,0.015,3834,5.000,0,,,17,0.0342,22.29,,18.0,,,,,,,FALSE,,TRUE
237751146,538.01,1,PPC,1.669965,0.0004250,1469.915423,2.73,104.331700,4.02900000,14.15,26095,5.984,,0.434,0.014,3352,4.796,0,0.429,133.21,6,0.1266,10.35,0.74,48.9,0.3,674,-,-,-,-,FALSE,,TRUE
431148743,1495.01,1,PC,2.628640,0.0002400,1738.93954,2.89,334.981359,53.66250800,8.71,635,,,,,3294,5.000,0,,,"16, 17",#DIV/0!,#DIV/0!,,#DIV/0!,,,,,,,FALSE,,TRUE
28900646,1685.01,1,VPC,0.669174,0.0000730,1816.225016,0.91,68.593730,43.037414,11.11,998,1.469,2.623,0.462,0.014,3457,5.000,0,,,19,0.0291,5.39,,204.0,,,,,,,FALSE,,TRUE
422756130,1695.01,1,PC,3.131463,0.0006290,1816.598975,0.93,21.920719,72.296441,11.03,1338,2.086,0.886,0.516,0.015,3575,5.000,0,,,19,0.0371,14.01,,34.5,,,,,,,FALSE,,TRUE
470987100,1732.01,1,PC,4.121356,0.0008130,1843.294736,2.01,111.801499,53.045087,11.33,1546,2.539,1.549,0.633,0.019,3876,4.954,0,,,20,0.0368,14.69,0.00,43.4,0.3,654,,,,,FALSE,,TRUE
232650365,1746.01,1,PC,2.525267,0.0000560,1684.786413,0.87,281.767703,54.910374,11.96,1425,1.563,3.370,0.410,0.015,3340,5.000,0,,,"14,15,16,19",0.0349,14.14,0.00,25.8,0.3,574,,,,,FALSE,,TRUE
364074068,1756.01,1,PC,2.783510,0.0002630,1764.846661,1.81,306.329027,77.636188,12.09,1080,2.138,0.314,0.563,0.017,3756,5.000,0,,,"17,18,19",0.0349,12.23,0.00,55.2,0.3,695,,,,,FALSE,,TRUE
332477926,1754.01,1,PPC,16.217297,0.0007400,1689.924201,3.43,265.594375,57.447824,11.72,1611,2.400,0.873,0.593,0.018,3849,5.000,0,,,"14,15,16,17,18,19",0.0371,38.22,0.00,6.2,0.3,403,,,,,FALSE,,TRUE
287139872,1752.01,1,PPC,0.935143,0.0000170,1683.595243,0.83,253.462993,60.709081,12.75,1203,1.841,2.979,0.527,0.016,3652,5.000,0,,,"14,15,16,17,18,19",0.0321,6.17,0.00,193.6,0.3,951,,,,,FALSE,,TRUE
233602827,1749.01,1,PC,4.489235,0.0001310,1685.935806,1.88,282.737771,64.4192,12.26,1384,2.106,1.764,0.561,0.017,3959,5.000,0,,,"14,15,16,17,18,19",0.0344,16.84,0.00,35.9,0.3,624,,,,,FALSE,,TRUE
153951307,1238.01,1,PC,3.293706,0.0008880,1684.294646,1.93,201.382398,68.83626600,11.26,1313,2.642,0.287,0.623,0.018,3853,5.000,0,,70.71,14,0.0389,12.78,0.00,56.0,0.3,697,,,,,FALSE,,TRUE
153951307,1238.02,1,PC,0.764601,0.0000640,1684.102793,1.02,201.382398,68.83626600,11.26,413,1.280,3.465,0.623,0.018,3853,5.000,0,,70.71,"14, 15",0.0188,4.83,0.00,392.4,0.3,1134,,,,,FALSE,,TRUE
318022259,1730.01,1,PC,6.222236,0.0011420,1844.381227,2.26,107.866429,48.330389,10.36,1847,2.299,1.144,0.532,0.016,3691,4.954,0,,,20,0.0396,21.69,0.00,16.4,0.3,513,,,,,FALSE,,TRUE
318022259,1730.02,1,PPC,2.155669,0.0004540,1844.579827,1.62,107.866429,48.330389,10.36,697,1.441,2.044,0.532,0.016,3691,4.954,0,,,20,0.0248,10.70,0.00,67.2,0.3,730,,,,,FALSE,,TRUE
219195044.01,714.01,2,CPC,4.323498,0.0001960,1412.838728,1.77,92.391749,-53.82347400,11.50,941,3.509,,0.473,0.014,3782,4.438,0,0.471,53.85,8,0.0680,18.41,0.00,25.0,0.3,570,,,-,-,FALSE,,TRUE
219195044.02,714.02,1,CPC,10.177426,0.0007610,1419.110330,2.18,92.391749,-53.82347400,11.50,903,3.215,,0.473,0.014,3782,4.438,0,0.471,53.85,8,0.0623,32.57,0.00,8.0,0.3,429,,,-,-,FALSE,,TRUE
271596225.01,797.01,1,VPC,1.800785,0.0000230,1326.819502,1.17,108.561700,-74.60250000,11.66,618,1.269,,0.495,,3704,4.774,0,,91.20,9,0.0235,9.96,0.00,78.7,0.3,759,,,-,-,FALSE,,TRUE
271596225.02,797.02,1,PC,4.140138,0.0000620,1327.412324,1.01,108.561700,-74.60250000,11.66,774,1.406,,0.495,,3704,4.774,0,,91.20,9,0.0261,17.35,0.00,25.9,0.3,575,,,-,-,FALSE,,TRUE
138762614,1802.01,1,PC,16.796111,0.0057960,1904.154502,3.50,164.254988,24.882426,11.13,1816,2.507,1.019,0.582,0.017,3859,,,,,22,0.0395,39.60,0.00,5.9,0.3,397,,,,,FALSE,,
233602827,1749.02,1,PC,9.046152,0.0003010,1688.77339,1.77,282.737771,64.4192,12.26,1993,2.502,2.208,0.561,0.017,3959,5.000,0,,,"14,15,16,17,18,19",0.0409,26.87,0.00,14.1,0.3,494,,,,,FALSE,,TRUE
299798795,1224.01,1,PC,4.178295,0.0000210,1327.702808,1.70,37.193400,-80.89920000,11.46,2914,1.941,0.612,0.357,0.058,3442,4.893,0,,37.33,"13,1",0.0499,21.71,0.00,12.4,0.3,478,-,-,-,-,FALSE,,TRUE
220459976,285.01,5,STPC,32.332528,0.0015910,1361.663925,3.46,74.697149,-56.39404900,12.11,2426,3.029,,0.660,,3891,4.640,0,,,2,0.0421,56.39,0.00,3.0,,,,,-,-,FALSE,,TRUE
219860288,1743.01,1,PC,4.265874,0.0000840,1713.431202,0.75,257.746405,71.871391,12.43,2478,1.604,1.932,0.320,0.009,3281,4.954,0,,,"15,16,17,18,19",0.0460,23.67,0.00,8.6,0.3,436,,,,,FALSE,,TRUE
441739871,1763.01,1,PPC,3.797940,0.0000970,1684.785022,1.09,259.564243,74.302886,12.81,2051,2.291,0.994,0.473,0.014,3520,4.954,0,,,"14,15,16,17,18,19",0.0444,16.89,0.00,22.3,0.3,554,,,,,FALSE,,TRUE
81212286,1724.01,1,PC,0.684593,0.0000990,1843.027821,1.06,127.033289,56.427562,12.51,2676,1.981,2.017,0.380,0.011,3541,4.954,0,,,20,0.0478,6.24,0.00,167.7,0.3,917,,,,,FALSE,,TRUE
198385543,1846.01,1,PC,3.927457,0.000936,1929.202175,1.50222,257.955422,54.526939,11.8467,2108.24875,1.898472,1.992109,0.411452,0.012125,3512.000000,,,,,23,0.0423,18.95,,17.6,,,,,,,,,
232635922,1745.01,1,PC,5.985568,0.0001700,1683.922079,1.57,281.137146,54.950111,12.80,2722,2.289,0.879,0.424,0.013,3759,4.954,0,,,"14,15,16,18,19",0.0495,24.58,0.00,13.7,0.3,490,,,,,FALSE,,TRUE
104208182,1738.01,1,PC,3.697386,0.0004100,1792.660607,1.42,54.501981,50.955486,12.49,2875,3.586,3.647,0.669,0.020,3948,4.954,0,,,"18,19",0.0492,13.16,0.00,58.2,0.3,704,,,,,FALSE,,TRUE
410153553,136.01,5,VP,0.462928,0.0000016,1325.725680,0.52,340.492100,-69.16900000,11.90,4681,1.320,0.020,0.189,0.006,3036,5.060,0,0.151,14.90,1,0.0640,7.11,0.22,69.8,0.3,805,-,-,0.0008963,0.0001911,TRUE,"LHS 3844b, Vanderspek et al 2018",FALSE
307210830.01,175.01,5,VP,3.690400,0.0003000,1367.275200,1.27,124.531900,-68.31300000,9.39,1830,1.350,0.070,0.314,0.001,3412,4.940,-0.5,0.312,10.62,2,0.0394,21.77,0.00,11.9,0.3,473,2.46,0.31,-,-,FALSE,"L 98-59c, Cloutier et al 2019",TRUE
307210830.02,175.02,5,VP,7.451200,0.0007000,1362.737600,0.84,124.531900,-68.31300000,9.39,1640,1.570,0.140,0.314,0.001,3412,4.940,-0.5,0.312,10.62,2,0.0459,34.78,0.85,4.6,0.3,374,2.26,0.50,0.000318,0.0000678,TRUE,"L 98-59d, Cloutier et al 2019",FALSE
307210830.03,175.03,5,VP,2.253100,0.0004000,1366.170800,1.02,124.531900,-68.31300000,9.39,571,0.800,0.050,0.314,0.001,3412,4.940,-0.5,0.312,10.62,2,0.0234,15.67,0.67,22.9,0.3,558,0.98,0.00,-,-,FALSE,"L 98-59b, Cloutier et al 2019",TRUE
181804752.01,736.01,5,VP,4.989777,0.0000500,1546.508850,1.21,165.691500,-16.40620000,13.51,17848,2.310,0.250,0.171,0.018,2960,5.115,-0.09,0.139,26.49,9,0.1238,34.48,0.28,2.7,0.3,370,-,-,0.0007272,0.0001818,TRUE,"LP 791-18c, Crossfield et al 2019",FALSE
181804752.02,736.02,5,VP,0.948005,0.0000058,1645.944380,0.61,165.691500,-16.40620000,13.51,4556,1.120,0.130,0.171,0.018,2960,5.115,-0.09,0.139,26.49,9,0.0604,11.11,0.54,25.8,0.3,650,-,-,0.0007272,0.0001818,TRUE,"LP 791-18b, Crossfield et al 2019",FALSE
181804752.03,736.31,5,VP,2.753433,0.0000400,1772.162260,0.89,165.691500,-16.40620000,13.51,4000,1.000,0.130,0.171,0.018,2960,5.115,-0.09,0.139,26.49,9,0.0500,24.00,0.30,5.5,0.3,650,-,-,0.0007272,0.0001818,TRUE,"LP 791-18d, Peterson+ 2020",FALSE
305048087,237.01,5,VP,5.436098,0.0000390,1355.249810,1.17,353.242700,-29.41510000,13.46,6531,1.440,0.120,0.211,0.016,3160,5.000,0,0.179,38.11,2,0.0581,34.00,0.30,3.6,0.3,351,-,-,0.0008824,0.0001667,TRUE,LEHPM 5926b,FALSE
231702397,122.01,5,VP,5.078030,0.0000150,1329.121000,1.16,332.947000,-58.94510000,13.05,5468,2.720,0.180,0.334,0.017,3360,4.900,0,0.312,62.12,1,0.0824,26.00,0.73,7.8,0.75,329,-,-,0.0005496,0.0000943,TRUE,LEHPM 4431b,FALSE
272086159,176.01,5,VPC,16.155373,0.0001030,1363.043700,1.61,115.003400,-72.20770000,13.40,61534,7.896,1.390,0.274,0.047,3276,4.978,-1.2,0.259,103.00,4,0.2640,76.74,0.79,0.8,0.5,222,-,-,0.000999,0.0001824,TRUE,,FALSE
348538431,507.01,4,VPC+,0.899455,0.0000160,1492.096537,1.20,121.629400,-15.76460000,13.24,56465,8.518,0.991,0.304,0.052,3338,4.947,-1.5,0.298,108.00,7,0.2567,5.43,0.79,174.5,0.5,852,-,-,0.0010103,0.0001559,TRUE,,FALSE
219189765,737.01,3,VPC,1.732017,0.0001440,1544.429149,1.64,171.015000,-19.55710000,14.79,58179,9.896,2.000,0.332,0.069,3394,4.919,0,0.333,250.47,9,0.2423,5.89,0.74,158.5,0.5,831,-,-,0.0029077,0.0004197,TRUE,,FALSE
146846569,734.01,3,VPC+,4.753571,0.0002000,1545.448757,1.12,160.891400,-44.62240000,15.00,350734,10.629,1.290,0.201,0.006,2868,5.062,0,0.170,,9,0.5761,46.70,0.77,1.3,0.5,250,-,-,0.0022966,0.0003631,TRUE,,FALSE
348755728,0.11,3,VPC,4.506230,0.0008690,1517.809802,1.97,134.089121,-12.93064800,13.30,12920,6.441,0.158,0.494,0.015,3477,4.743,0,0.492,115.37,8,0.1035,18.20,0.30,18.3,0.3,527,-,-,0.0008675,0.0001308,TRUE,This system is in a co-moving binary with TOI 633.01,FALSE
178709444,762.01,3,VPC,3.471635,0.0002470,1572.678818,1.37,166.075700,-47.82140000,13.50,43087,6.121,0.231,0.318,0.059,3365,4.915,0,0.314,130.00,10,0.1763,18.12,0.72,16.2,0.3,511,-,-,0.0010043,0.0001722,TRUE,,FALSE
220479565,269.01,3,VPC,3.697675,0.0000490,1411.429201,0.86,75.846109,-54.17719400,12.27,4963,2.900,0.174,0.342,0.021,3607,4.438,-1.24,0.367,58.86,4,0.0590,28.27,0.26,8.8,0.3,439,-,-,0.0003532,0.000079,TRUE,,FALSE
161032923,1080.01,1,VPC,3.965256,0.0006750,1654.060034,0.99,276.370200,-52.21430000,12.68,4770,2.034,0.947,0.284,0.049,3296,4.966,0,,25.56,13,0.0657,24.42,0.00,8.2,0.3,431,-,-,-,-,TRUE,,FALSE
447061717,1231.01,1,VPC,24.245650,0.0012130,1563.888198,3.26,156.747800,-52.46940000,10.19,6453,3.280,0.669,0.406,0.081,3535,4.954,0,,27.62,"10,9",0.0741,64.34,0.00,1.6,0.3,285,-,-,-,-,TRUE,Jennifer Burt (in prep),FALSE
165551882,1633.01,1,PC,12.158280,0.0058050,1798.104217,2.14,266.766256,57.224761,12.54,3431,1.916,1.056,0.323,0.010,3429,4.954,0,,,18,0.0544,47.28,0.00,2.6,0.3,323,,,,,TRUE,Try to observe again June 4,FALSE
296780789,573.01,1,VPC-,13.577363,0.0002320,1524.632662,1.70,142.347200,-14.51140000,12.52,143014,18.920,,0.338,,3404,4.911,0,,90.00,8,0.5136,49.40,0.90,2.3,0.5,288,,,-,-,FALSE,,TRUE
306996324.01,776.01,1,VPC+,15.664713,0.0000900,1572.604521,2.78,178.576600,-37.55270000,9.65,1484,2.157,,0.545,,3806,4.736,0,,39.40,10,0.0363,39.52,0.00,5.6,0.3,392,,,-,-,FALSE,,TRUE
306996324.02,776.02,1,VPC,8.246771,0.0002000,1571.415385,2.42,178.576600,-37.55270000,9.65,1063,1.787,,0.545,,3806,4.736,0,,39.40,10,0.0301,25.76,0.00,13.1,0.3,485,,,-,-,FALSE,,TRUE
13684720,1433.01,1,PC,12.437607,0.0002500,1695.012224,1.73,305.538023,36.06457200,12.46,128447,19.740,2.758,0.477,0.014,3275,4.758,0,0.475,67.96,"14, 15",0.3797,37.03,0.00,3.5,0.3,348,,,,,FALSE,,TRUE
119584412,1801.01,1,PC,21.284406,0.0033530,1903.544154,2.77,175.576559,23.026855,9.86,1547,2.170,0.846,0.546,0.016,3815,4.954,0,,,22,0.0365,48.44,0.00,3.7,0.3,355,,,,,FALSE,,
429358906,782.01,1,VPC,16.047916,0.0002000,1577.042852,1.71,183.921100,-18.91020000,12.19,4333,2.003,0.500,0.301,0.050,3331,4.954,0,,66.30,10,0.0611,59.66,0.00,1.4,0.3,279,,,-,-,FALSE,,TRUE
343628284,1448.01,1,PC,8.113675,0.0014140,1713.333728,2.35,316.324130,57.77137400,13.17,7361,3.791,0.430,0.382,0.011,3391,4.844,0,,73.33,"15, 16",0.0911,32.32,0.00,5.2,0.3,386,,,,,FALSE,,TRUE
230086768,1635.01,1,PC,8.857783,0.0007510,1797.127328,2.75,246.624600,66.143578,13.32,102947,17.912,17.460,0.389,0.012,3496,4.954,0,,,18,0.4222,33.82,0.00,5.4,0.3,389,,,,,FALSE,,TRUE
153065527,406.01,1,PPC,13.173838,0.0012850,1388.573000,2.20,49.262413,-42.24232900,11.22,2087,1.553,,0.309,,3349,4.941,0,,31.10,4,0.0461,51.40,0.00,2.0,0.3,302,,,-,-,FALSE,,TRUE
259962054,203.01,1,PC,51.953234,0.0103890,1327.729066,6.32,43.018800,-67.68760000,12.17,2534,1.221,,0.241,,3203,5.017,0,,50.00,"2,3,4,6,8",0.0465,151.41,0.00,0.2,0.3,168,,,-,-,FALSE,,TRUE
51024887,1632.01,1,VPC,8.249187,0.0032000,1797.344998,4.98,42.154146,62.189709,14.99,117724,8.048,35.753,0.165,0.005,2990,5.000,0,,,18,0.4473,57.14,,1.0,,,,,,,FALSE,,TRUE
312862941,1638.01,1,PC,0.901387,0.0000790,1791.146368,0.76,15.321760,55.697948,12.13,5492,8.637,21.636,0.701,0.021,3810,4.954,0,,,18,0.1130,4.98,0.00,352.5,0.3,1104,,,,,FALSE,,TRUE
348673213,1639.01,1,PC,0.901465,0.0001920,1791.468047,2.56,35.807158,56.570164,12.97,3157,3.435,0.998,0.611,0.018,3896,4.954,0,,,18,0.0516,5.46,0.00,320.8,0.3,1079,,,,,FALSE,,TRUE
408636441,1759.01,1,PC,37.696127,0.0020890,1745.467287,3.54,326.853293,62.753861,9.93,2681,3.235,0.463,0.627,0.019,3960,4.893,0,,,"16,17",0.0473,64.63,0.00,2.4,0.3,319,,,,,FALSE,,TRUE
322270620,1083.01,1,PC,12.958787,0.0046610,1666.870040,2.01,296.829400,-87.32160000,12.08,3300,2.704,0.790,0.448,0.069,3614,4.813,0,,68.91,13,0.0554,39.68,0.00,4.5,0.3,371,,,,,TRUE,,FALSE
32497972,876.01,1,PC,38.696290,0.0050520,1448.181557,2.45,84.108800,-24.24390000,11.50,2676,3.147,1.899,0.609,0.086,3955,4.689,0,,103.20,6,0.0474,67.06,0.00,2.3,0.3,312,,,-,-,FALSE,,TRUE
166648874,1806.01,1,PC,15.145469,0.0060870,1909.546801,2.58,166.118963,30.45875,12.62,5581,3.410,0.351,0.402,0.012,3272,4.954,0,,,22,0.0779,47.36,0.00,2.1,0.3,308,,,,,FALSE,,
271971130,715.01,1,PC,19.287523,0.0005160,1327.551446,2.07,113.851073,-73.57746900,13.53,4942,7.070,,0.230,0.007,3187,5.015,0,0.199,42.40,9,0.2823,80.73,0.24,0.7,0.3,229,-,-,-,-,FALSE,,TRUE
420112589,1452.01,1,VPC,11.062190,0.0008670,1691.52391,1.63,290.173858,73.19542600,12.30,3779,1.831,0.305,0.275,0.009,3248,4.954,0,0.249,30.52,"14, 15, 16",0.0610,49.40,0.00,1.9,0.3,299,,,,,FALSE,,TRUE
153077621,454.01,1,VPC-,18.082538,0.0002150,1414.220898,2.28,49.660200,-42.64240000,9.44,8669,3.362,,0.296,0.070,3321,4.954,0,0.287,78.96,4,0.1042,65.32,0.91,1.2,0.3,266,-,-,-,-,FALSE,Crossfield AC Target,TRUE
2760710,227.01,5,STPC,15.604000,0.0100000,1364.102069,1.51,356.527700,-16.69120000,14.28,30400,2.433,,0.241,0.007,3176,4.998,0,0.212,52.34,2,0.0926,67.91,0.00,0.9,0.3,249,-,-,-,-,FALSE,,TRUE
365639282,482.01,1,PC,10.871700,0.0059400,1472.412790,2.94,81.398600,8.44090000,13.09,14603,9.099,1.000,0.488,0.050,3692,4.954,0,,173.80,6,0.1711,33.34,0.00,6.9,0.3,414,,,-,-,FALSE,,TRUE
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#No Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Proposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Have Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Not a planet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Yikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Can't Observe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,